Link,Title,Year,Rating
https://www.rottentomatoes.com/m/the_trial_of_the_chicago_7,THE TRIAL OF THE CHICAGO 7,2020,89
https://www.rottentomatoes.com/m/zombieland,ZOMBIELAND,2009,89
https://www.rottentomatoes.com/m/the_ballad_of_buster_scruggs,THE BALLAD OF BUSTER SCRUGGS,2018,89
https://www.rottentomatoes.com/m/always_be_my_maybe_2019,ALWAYS BE MY MAYBE,2019,89
https://www.rottentomatoes.com/m/i_am_mother,I AM MOTHER,2019,89
https://www.rottentomatoes.com/m/i_dont_feel_at_home_in_this_world_anymore,I DON'T FEEL AT HOME IN THIS WORLD ANYMORE,2017,89
https://www.rottentomatoes.com/m/paddleton,PADDLETON,2019,89
https://www.rottentomatoes.com/m/rush_2013,RUSH,2013,88
https://www.rottentomatoes.com/m/rango,RANGO,2011,88
https://www.rottentomatoes.com/m/the_bad_guys_2022,THE BAD GUYS,2022,88
https://www.rottentomatoes.com/m/dope_2015,DOPE,2015,88
https://www.rottentomatoes.com/m/oxygen_2021,OXYGEN,2021,88
https://www.rottentomatoes.com/m/fear_street_part_three_1666,FEAR STREET PART THREE: 1666,2021,88
https://www.rottentomatoes.com/m/donnie_brasco,DONNIE BRASCO,1997,88
https://www.rottentomatoes.com/m/the_breaker_upperers,THE BREAKER UPPERERS,2018,88
https://www.rottentomatoes.com/m/inception,INCEPTION,2010,87
https://www.rottentomatoes.com/m/fear_street_part_two_1978,FEAR STREET PART TWO: 1978,2021,87
https://www.rottentomatoes.com/m/my_fathers_dragon_2022,MY FATHER'S DRAGON,2022,87
https://www.rottentomatoes.com/m/inside_man,INSIDE MAN,2006,86
https://www.rottentomatoes.com/m/kung_fu_panda_3,KUNG FU PANDA 3,2016,86
https://www.rottentomatoes.com/m/the_wonder_2022,THE WONDER,2022,86
https://www.rottentomatoes.com/m/vivo,VIVO,2021,86
https://www.rottentomatoes.com/m/munich_the_edge_of_war,MUNICH: THE EDGE OF WAR,2021,86
https://www.rottentomatoes.com/m/still_alice,STILL ALICE,2014,85
https://www.rottentomatoes.com/m/easy-a,EASY A,2010,85
https://www.rottentomatoes.com/m/lady_chatterleys_lover_2022,LADY CHATTERLEY'S LOVER,2022,85
